"","X","Species","Latitude","Longitude","Oiling","Condition","BirdCount","Date_","Oil_Cond","Date","week.number","Alive","Common","Family","Quarter"
"663",663,"Brown Pelican",29.37256,-89.89343,"Not Visibly Oiled","Dead",1,"2010-09-01",3,2010-09-01,36,0,"Pelicans","Pelecanidae","08-02-2010 to 09-19-2010"
"664",664,"Brown Pelican",29.30761,-89.95795,"Visibly Oiled","Dead",1,"2010-08-06",4,2010-08-06,32,0,"Pelicans","Pelecanidae","08-02-2010 to 09-19-2010"
"665",665,"Brown Pelican",29.2578,-89.60452,"Unknown","Dead",1,"2010-05-23",5,2010-05-23,21,0,"Pelicans","Pelecanidae","05-05-2010 to 06-20-2010"
"667",667,"Brown Pelican",30.22025,-89.07843,"Visibly Oiled","Dead",1,"2010-07-02",4,2010-07-02,27,0,"Pelicans","Pelecanidae","06-21-2010 to 08-01-2010"
"670",670,"Brown Pelican",30.49896,-88.0245,"Not Visibly Oiled","Dead",1,"2010-08-22",3,2010-08-22,34,0,"Pelicans","Pelecanidae","08-02-2010 to 09-19-2010"
"673",673,"Brown Pelican",29.42083,-89.82055,"Unknown","Dead",1,"2010-06-09",5,2010-06-09,24,0,"Pelicans","Pelecanidae","05-05-2010 to 06-20-2010"
"674",674,"Brown Pelican",29.35103,-89.98418,"Not Visibly Oiled","Dead",1,"2010-08-10",3,2010-08-10,33,0,"Pelicans","Pelecanidae","08-02-2010 to 09-19-2010"
"675",675,"Brown Pelican",28.99088,-89.1459,"Not Visibly Oiled","Dead",1,"2010-06-24",3,2010-06-24,26,0,"Pelicans","Pelecanidae","06-21-2010 to 08-01-2010"
"677",677,"Brown Pelican",29.20805,-89.02995,"Not Visibly Oiled","Dead",1,"2010-08-24",3,2010-08-24,35,0,"Pelicans","Pelecanidae","08-02-2010 to 09-19-2010"
"681",681,"Brown Pelican",29.31638,-89.78412,"Visibly Oiled","Dead",1,"2010-07-14",4,2010-07-14,29,0,"Pelicans","Pelecanidae","06-21-2010 to 08-01-2010"
"684",684,"Brown Pelican",29.0156,-89.14,"Unknown","Dead",1,"2010-06-24",5,2010-06-24,26,0,"Pelicans","Pelecanidae","06-21-2010 to 08-01-2010"
"685",685,"Brown Pelican",29.22017,-90.01465,"Not Visibly Oiled","Dead",1,"2010-08-27",3,2010-08-27,35,0,"Pelicans","Pelecanidae","08-02-2010 to 09-19-2010"
"686",686,"Brown Pelican",29.03094,-89.23591,"Visibly Oiled","Dead",1,"2010-07-21",4,2010-07-21,30,0,"Pelicans","Pelecanidae","06-21-2010 to 08-01-2010"
"687",687,"Brown Pelican",30.20078,-88.46631,"Visibly Oiled","Dead",1,"2010-06-25",4,2010-06-25,26,0,"Pelicans","Pelecanidae","06-21-2010 to 08-01-2010"
"688",688,"Brown Pelican",29.02362,-89.27362,"Visibly Oiled","Dead",1,"2010-06-16",4,2010-06-16,25,0,"Pelicans","Pelecanidae","05-05-2010 to 06-20-2010"
"690",690,"Brown Pelican",24.6281,-82.86526,"Not Visibly Oiled","Dead",1,"2010-06-03",3,2010-06-03,23,0,"Pelicans","Pelecanidae","05-05-2010 to 06-20-2010"
"691",691,"Brown Pelican",29.30371,-89.9646,"Visibly Oiled","Dead",1,"2010-06-22",4,2010-06-22,26,0,"Pelicans","Pelecanidae","06-21-2010 to 08-01-2010"
"693",693,"Brown Pelican",29.30177,-89.95733,"Visibly Oiled","Dead",1,"2010-08-06",4,2010-08-06,32,0,"Pelicans","Pelecanidae","08-02-2010 to 09-19-2010"
"694",694,"Brown Pelican",30.49028,-88.02623,"Not Visibly Oiled","Dead",1,"2010-09-08",3,2010-09-08,37,0,"Pelicans","Pelecanidae","08-02-2010 to 09-19-2010"
"695",695,"Brown Pelican",30.47982,-88.09924,"Not Visibly Oiled","Dead",1,"2010-08-29",3,2010-08-29,35,0,"Pelicans","Pelecanidae","08-02-2010 to 09-19-2010"
"696",696,"Brown Pelican",30.50295,-88.0491,"Not Visibly Oiled","Dead",1,"2010-09-10",3,2010-09-10,37,0,"Pelicans","Pelecanidae","08-02-2010 to 09-19-2010"
"698",698,"Brown Pelican",29.60717,-90.44057,"Visibly Oiled","Dead",1,"2010-09-15",4,2010-09-15,38,0,"Pelicans","Pelecanidae","08-02-2010 to 09-19-2010"
"699",699,"Brown Pelican",30.33655,-88.26173,"Not Visibly Oiled","Dead",1,"2010-09-16",3,2010-09-16,38,0,"Pelicans","Pelecanidae","08-02-2010 to 09-19-2010"
"700",700,"Brown Pelican",30.30534,-89.27238,"Not Visibly Oiled","Dead",1,"2010-09-24",3,2010-09-24,39,0,"Pelicans","Pelecanidae","09-20-2010 to 10-18-210"
"701",701,"Brown Pelican",30.35824,-88.50574,"Not Visibly Oiled","Dead",1,"2010-07-08",3,2010-07-08,28,0,"Pelicans","Pelecanidae","06-21-2010 to 08-01-2010"
"704",704,"Brown Pelican",29.21007,-89.0302,"Unknown","Dead",1,"2010-05-19",5,2010-05-19,21,0,"Pelicans","Pelecanidae","05-05-2010 to 06-20-2010"
"706",706,"Brown Pelican",28.96354,-89.40112,"Not Visibly Oiled","Dead",1,"2010-08-06",3,2010-08-06,32,0,"Pelicans","Pelecanidae","08-02-2010 to 09-19-2010"
"707",707,"Brown Pelican",29.21007,-89.0302,"Unknown","Dead",1,"2010-05-19",5,2010-05-19,21,0,"Pelicans","Pelecanidae","05-05-2010 to 06-20-2010"
"708",708,"Brown Pelican",30.50395,-88.02485,"Visibly Oiled","Dead",1,"2010-08-25",4,2010-08-25,35,0,"Pelicans","Pelecanidae","08-02-2010 to 09-19-2010"
"709",709,"Brown Pelican",30.20229,-88.47635,"Visibly Oiled","Dead",1,"2010-06-05",4,2010-06-05,23,0,"Pelicans","Pelecanidae","05-05-2010 to 06-20-2010"
"710",710,"Brown Pelican",29.05073,-90.84628,"Visibly Oiled","Dead",1,"2010-06-26",4,2010-06-26,26,0,"Pelicans","Pelecanidae","06-21-2010 to 08-01-2010"
"712",712,"Brown Pelican",29.33803,-89.86741,"Visibly Oiled","Dead",1,"2010-06-09",4,2010-06-09,24,0,"Pelicans","Pelecanidae","05-05-2010 to 06-20-2010"
"713",713,"Brown Pelican",29.39822,-89.90218,"Unknown","Dead",1,"2010-07-19",5,2010-07-19,30,0,"Pelicans","Pelecanidae","06-21-2010 to 08-01-2010"
"714",714,"Brown Pelican",29.34606,-89.86806,"Not Visibly Oiled","Dead",1,"2010-07-08",3,2010-07-08,28,0,"Pelicans","Pelecanidae","06-21-2010 to 08-01-2010"
"715",715,"Brown Pelican",29.71491,-90.0337,"Unknown","Dead",1,"2010-06-09",5,2010-06-09,24,0,"Pelicans","Pelecanidae","05-05-2010 to 06-20-2010"
